Date,Stock,Tail,Fallback,Reason
2018-01-19,INFY.NS,upper,False,
2018-01-19,INFY.NS,lower,False,
2018-01-19,SBIN.NS,upper,False,
2018-01-19,SBIN.NS,lower,False,
2018-02-05,INFY.NS,upper,False,
2018-02-05,INFY.NS,lower,False,
2018-02-05,SBIN.NS,upper,False,
2018-02-05,SBIN.NS,lower,False,
2018-02-20,INFY.NS,upper,False,
2018-02-20,INFY.NS,lower,False,
2018-02-20,SBIN.NS,upper,False,
2018-02-20,SBIN.NS,lower,False,
2018-03-07,INFY.NS,upper,False,
2018-03-07,INFY.NS,lower,False,
2018-03-07,SBIN.NS,upper,False,
2018-03-07,SBIN.NS,lower,False,
2018-03-21,INFY.NS,upper,False,
2018-03-21,INFY.NS,lower,False,
2018-03-21,SBIN.NS,upper,False,
2018-03-21,SBIN.NS,lower,False,
2018-04-06,INFY.NS,upper,False,
2018-04-06,INFY.NS,lower,False,
2018-04-06,SBIN.NS,upper,False,
2018-04-06,SBIN.NS,lower,False,
2018-04-20,INFY.NS,upper,False,
2018-04-20,INFY.NS,lower,False,
2018-04-20,SBIN.NS,upper,False,
2018-04-20,SBIN.NS,lower,False,
2018-05-07,INFY.NS,upper,False,
2018-05-07,INFY.NS,lower,False,
2018-05-07,SBIN.NS,upper,False,
2018-05-07,SBIN.NS,lower,False,
2018-05-21,INFY.NS,upper,False,
2018-05-21,INFY.NS,lower,False,
2018-05-21,SBIN.NS,upper,False,
2018-05-21,SBIN.NS,lower,False,
2018-06-04,INFY.NS,upper,False,
2018-06-04,INFY.NS,lower,False,
2018-06-04,SBIN.NS,upper,False,
2018-06-04,SBIN.NS,lower,False,
2018-06-18,INFY.NS,upper,False,
2018-06-18,INFY.NS,lower,False,
2018-06-18,SBIN.NS,upper,False,
2018-06-18,SBIN.NS,lower,False,
2018-07-02,INFY.NS,upper,False,
2018-07-02,INFY.NS,lower,False,
2018-07-02,SBIN.NS,upper,False,
2018-07-02,SBIN.NS,lower,False,
2018-07-16,INFY.NS,upper,False,
2018-07-16,INFY.NS,lower,False,
2018-07-16,SBIN.NS,upper,False,
2018-07-16,SBIN.NS,lower,False,
2018-07-30,INFY.NS,upper,False,
2018-07-30,INFY.NS,lower,False,
2018-07-30,SBIN.NS,upper,False,
2018-07-30,SBIN.NS,lower,False,
2018-08-13,INFY.NS,upper,False,
2018-08-13,INFY.NS,lower,False,
2018-08-13,SBIN.NS,upper,False,
2018-08-13,SBIN.NS,lower,False,
2018-08-29,INFY.NS,upper,False,
2018-08-29,INFY.NS,lower,False,
2018-08-29,SBIN.NS,upper,False,
2018-08-29,SBIN.NS,lower,False,
2018-09-12,INFY.NS,upper,False,
2018-09-12,INFY.NS,lower,False,
2018-09-12,SBIN.NS,upper,False,
2018-09-12,SBIN.NS,lower,False,
2018-09-28,INFY.NS,upper,False,
2018-09-28,INFY.NS,lower,False,
2018-09-28,SBIN.NS,upper,False,
2018-09-28,SBIN.NS,lower,False,
2018-10-15,INFY.NS,upper,False,
2018-10-15,INFY.NS,lower,False,
2018-10-15,SBIN.NS,upper,False,
2018-10-15,SBIN.NS,lower,False,
2018-10-30,INFY.NS,upper,False,
2018-10-30,INFY.NS,lower,False,
2018-10-30,SBIN.NS,upper,False,
2018-10-30,SBIN.NS,lower,True,sparse
2018-11-14,INFY.NS,upper,False,
2018-11-14,INFY.NS,lower,False,
2018-11-14,SBIN.NS,upper,False,
2018-11-14,SBIN.NS,lower,False,
2018-11-29,INFY.NS,upper,False,
2018-11-29,INFY.NS,lower,False,
2018-11-29,SBIN.NS,upper,False,
2018-11-29,SBIN.NS,lower,True,sparse
2018-12-13,INFY.NS,upper,False,
2018-12-13,INFY.NS,lower,False,
2018-12-13,SBIN.NS,upper,False,
2018-12-13,SBIN.NS,lower,True,sparse
2018-12-28,INFY.NS,upper,False,
2018-12-28,INFY.NS,lower,False,
2018-12-28,SBIN.NS,upper,False,
2018-12-28,SBIN.NS,lower,True,sparse
2019-01-11,INFY.NS,upper,False,
2019-01-11,INFY.NS,lower,False,
2019-01-11,SBIN.NS,upper,False,
2019-01-11,SBIN.NS,lower,True,sparse
2019-01-25,INFY.NS,upper,False,
2019-01-25,INFY.NS,lower,False,
2019-01-25,SBIN.NS,upper,False,
2019-01-25,SBIN.NS,lower,False,
2019-02-08,INFY.NS,upper,False,
2019-02-08,INFY.NS,lower,False,
2019-02-08,SBIN.NS,upper,False,
2019-02-08,SBIN.NS,lower,False,
2019-02-25,INFY.NS,upper,False,
2019-02-25,INFY.NS,lower,False,
2019-02-25,SBIN.NS,upper,False,
2019-02-25,SBIN.NS,lower,False,
2019-03-12,INFY.NS,upper,False,
2019-03-12,INFY.NS,lower,False,
2019-03-12,SBIN.NS,upper,False,
2019-03-12,SBIN.NS,lower,False,
2019-03-27,INFY.NS,upper,False,
2019-03-27,INFY.NS,lower,False,
2019-03-27,SBIN.NS,upper,False,
2019-03-27,SBIN.NS,lower,False,
2019-04-11,INFY.NS,upper,False,
2019-04-11,INFY.NS,lower,False,
2019-04-11,SBIN.NS,upper,False,
2019-04-11,SBIN.NS,lower,False,
2019-04-30,INFY.NS,upper,False,
2019-04-30,INFY.NS,lower,False,
2019-04-30,SBIN.NS,upper,False,
2019-04-30,SBIN.NS,lower,False,
2019-05-15,INFY.NS,upper,False,
2019-05-15,INFY.NS,lower,False,
2019-05-15,SBIN.NS,upper,False,
2019-05-15,SBIN.NS,lower,False,
